"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",299.74117,540
6,"ABCO",793.32334,168
7,"ABCO",1602.13212,1236
11,"ABCO",2198.82184,2919
12,"ABCO",576.6,38
13,"ABCO",2670.84409,1166
16,"ABCO",3086.07782,716
17,"ABCO",793.2,210
18,"ABCO",3537.33322,1556
21,"ABCO",3952.47218,314
22,"ABCO",1001.1,42
23,"ABCO",4382.31107,1276
27,"ABCO",0,36
28,"ABCO",0,1064
32,"ABCO",0,24
1,"ABMA",996.033333333333,1981.33333333333
6,"ABMA",1049.23333333333,2060.66666666667
11,"ABMA",1103.1,3528.66666666667
16,"ABMA",1153.93333333333,1905.33333333333
21,"ABMA",1206.06666666667,1644.66666666667
28,"ABMA",0,4
1,"CADE",386.73184895,808
6,"CADE",919.1838,1260
7,"CADE",61.86669,208
11,"CADE",1099.6825,1528
13,"CADE",77.42225,208
16,"CADE",1281.0885,4656
17,"CADE",3,10
18,"CADE",91.55556,208
21,"CADE",1457.5961,1058
22,"CADE",3,20
23,"CADE",103.11112,249
27,"CADE",0,25
28,"CADE",0,247
32,"CADE",0,30
1,"PICO",34.8,68
6,"PICO",37,70
10,"PICO",1.77778,14
11,"PICO",39.3,66
15,"PICO",1.77778,14
16,"PICO",41.2,64
19,"PICO",1.77778,16
21,"PICO",42.4,60
24,"PICO",1.7777796,18
29,"PICO",0,18
1,"PIJE",158.9,324
6,"PIJE",255.8,302
12,"PIJE",369.5,270
17,"PIJE",459.8,228
22,"PIJE",547.3,208
27,"PIJE",0,202
32,"PIJE",0,196
1,"PILA",51.6547045333333,170.666666666667
6,"PILA",34.980941,72
7,"PILA",102.400019,342
11,"PILA",66.938768,154
12,"PILA",7.2,6
13,"PILA",114.75557,258
16,"PILA",68.480737,212
17,"PILA",7.7,4
18,"PILA",124.53335,232
21,"PILA",69.659861,222
22,"PILA",9.2,4
23,"PILA",133.866686,157
27,"PILA",0,4
28,"PILA",0,143
32,"PILA",0,4
1,"PIMO",44.39444375,120
5,"PIMO",87.466671,226
6,"PIMO",7.5,14
10,"PIMO",95.377796,216
11,"PIMO",8.2,14
15,"PIMO",103.466648,220
16,"PIMO",8.8,14
19,"PIMO",112.177779,387
21,"PIMO",9.2,10
24,"PIMO",120.977768,422
29,"PIMO",0,456
1,"PIPO",58.04992,94
6,"PIPO",116.46266,64
11,"PIPO",167.25642,97
16,"PIPO",212.78913,96
21,"PIPO",252.24506,64
1,"QUCH",6.34921,84
6,"QUCH",6.167804,80
11,"QUCH",6.167804,112
21,"QUCH",5.532883,114
1,"QUKE",107.969779666667,296.666666666667
6,"QUKE",174.25042,378
7,"QUKE",2.044445,68
11,"QUKE",360.27192,1074
12,"QUKE",17,200
13,"QUKE",2.044445,68
16,"QUKE",385.03417,1010
17,"QUKE",16.6,273
18,"QUKE",2.1333339,61
21,"QUKE",407.52836,502
22,"QUKE",16.7,195
23,"QUKE",2.044445,73
27,"QUKE",0,225
28,"QUKE",0,64
32,"QUKE",0,248
