"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",234.304166666667,540
6,"ABCO",301.97323,168
7,"ABCO",688.00014,1236
11,"ABCO",639.9999,2919
12,"ABCO",97.4,38
13,"ABCO",804.08912,1166
16,"ABCO",740.31768,716
17,"ABCO",114.4,210
18,"ABCO",896.35554,1556
21,"ABCO",855.51004,314
22,"ABCO",125.8,42
23,"ABCO",996.62254,1276
27,"ABCO",137.6,36
28,"ABCO",1086.22266,1064
32,"ABCO",152.6,24
1,"ABMA",999.606562,1981.33333333333
6,"ABMA",1011.39851333333,2060.66666666667
11,"ABMA",1005.77460666667,3528.66666666667
16,"ABMA",1005.41096666667,1905.33333333333
21,"ABMA",999.546293333333,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",385.745085,808
6,"CADE",840.4534,1260
7,"CADE",52.266696,208
11,"CADE",882.1768,1528
13,"CADE",56.355592,208
16,"CADE",928.4354,4656
17,"CADE",3,10
18,"CADE",59.911136,208
21,"CADE",971.9732,1058
22,"CADE",2.4,20
23,"CADE",63.111138,249
27,"CADE",2.4,25
28,"CADE",65.066696,247
32,"CADE",2.2,30
1,"PICO",34.104316,68
6,"PICO",34.64852,70
10,"PICO",1.71674,14
11,"PICO",36.643984,66
15,"PICO",1.71674,14
16,"PICO",35.55552,64
19,"PICO",1.71674,16
21,"PICO",36.28119,60
24,"PICO",1.5450658,18
29,"PICO",1.5450658,18
1,"PIJE",139.2,324
6,"PIJE",140.4,302
12,"PIJE",137.6,270
17,"PIJE",139.6,228
22,"PIJE",139.2,208
27,"PIJE",140.6,202
32,"PIJE",142.4,196
1,"PILA",50.6999132666667,170.666666666667
6,"PILA",30.180721,72
7,"PILA",80.71112,342
11,"PILA",51.519292,154
12,"PILA",3.2,6
13,"PILA",75.7333238,258
16,"PILA",46.439894,212
17,"PILA",3.2,4
18,"PILA",70.0444218,232
21,"PILA",41.904748,222
22,"PILA",3.4,4
23,"PILA",65.955546,157
27,"PILA",3.4,4
28,"PILA",63.466642,143
32,"PILA",3.6,4
1,"PIMO",44.081651,120
5,"PIMO",83.09016,226
6,"PIMO",7.981864,14
10,"PIMO",84.635186,216
11,"PIMO",7.437646,14
15,"PIMO",87.72533,220
16,"PIMO",7.619052,14
19,"PIMO",88.412028,387
21,"PIMO",7.800458,10
24,"PIMO",89.442088,422
29,"PIMO",89.09874,456
1,"PIPO",45.351524,94
6,"PIPO",46.439876,64
11,"PIPO",42.811808,97
16,"PIPO",39.909284,96
21,"PIPO",37.55102,64
1,"QUCH",5.986398,84
6,"QUCH",4.897962,80
11,"QUCH",4.172338,112
21,"QUCH",3.62812,114
1,"QUKE",107.386111333333,296.666666666667
6,"QUKE",158.71119,378
7,"QUKE",1.777778,68
11,"QUKE",288.61654,1074
12,"QUKE",15.2,200
13,"QUKE",1.9555558,68
16,"QUKE",278.45816,1010
17,"QUKE",15.2,273
18,"QUKE",1.6000002,61
21,"QUKE",268.117914,502
22,"QUKE",13.2,195
23,"QUKE",1.2444446,73
27,"QUKE",13.2,225
28,"QUKE",1.2444446,64
32,"QUKE",13.8,248
