"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",38,29.2,0.98235090641813,0.010414668902158,"NS","Sig"
6,"ABCO",38,72,0.0334959375949553,0.000136368661472739,"Sig","Sig"
12,"ABCO",38,100.4,0.00354207436399223,3.93699894089348e-05,"Sig","Sig"
17,"ABCO",210,116,0,3.74580959755982e-06,"Sig","Sig"
22,"ABCO",42,127.2,0,2.44079605018617e-05,"Sig","Sig"
27,"ABCO",36,140.6,0.0117509754770964,8.40215498275817e-05,"Sig","Sig"
32,"ABCO",24,153.8,0,9.99571554817144e-06,"Sig","Sig"
17,"CADE",10,2.8,0,3.55394350233049e-06,"Sig","Sig"
22,"CADE",20,2.6,0,2.35333197317986e-07,"Sig","Sig"
27,"CADE",25,2.2,0,3.55066005393262e-08,"Sig","Sig"
32,"CADE",30,2.2,0,1.60672744445732e-08,"Sig","Sig"
1,"PIJE",324,140.4,0,1.45456841656748e-08,"Sig","Sig"
6,"PIJE",302,142.2,0,9.06457642220555e-08,"Sig","Sig"
12,"PIJE",270,145.2,0,1.7973091573663e-06,"Sig","Sig"
17,"PIJE",228,142.4,0,3.56168817409163e-06,"Sig","Sig"
22,"PIJE",208,141.4,0.0190869299973892,5.82059454902262e-05,"Sig","Sig"
27,"PIJE",202,141,0.025332271347559,0.000182404189249062,"Sig","Sig"
32,"PIJE",196,141,0.00664324746291964,3.07484499729054e-05,"Sig","Sig"
1,"PILA",8,3.8,0,3.03904505693914e-05,"Sig","Sig"
6,"PILA",8,4.2,0.00761904761904764,4.52021310794096e-05,"Sig","Sig"
12,"PILA",6,3.4,0.841344317348312,0.00698737466531974,"NS","Sig"
17,"PILA",4,4,0.0100000000000007,1,"Sig","NS"
22,"PILA",4,3.4,0.172474490926429,0.591319631866854,"NS","NS"
27,"PILA",4,3.6,0.172474490926429,0.717428359914488,"NS","NS"
32,"PILA",4,2.6,0.551052669237933,0.0516059578111748,"NS","NS"
1,"QUKE",202,16.4,0,1.82027422961792e-11,"Sig","Sig"
6,"QUKE",202,14.6,0,1.24537366770706e-10,"Sig","Sig"
12,"QUKE",200,14.4,0,1.29439217938332e-10,"Sig","Sig"
17,"QUKE",273,13.6,0,2.80393043101815e-10,"Sig","Sig"
22,"QUKE",195,13.8,0,2.27940759515782e-09,"Sig","Sig"
27,"QUKE",225,12.4,0,6.21418827725103e-10,"Sig","Sig"
32,"QUKE",248,12.2,0,2.52189145491845e-09,"Sig","Sig"
