"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",235.237877777778,540
6,"ABCO",310.45991,168
7,"ABCO",682.370516666667,1236
11,"ABCO",625.85022,2919
12,"ABCO",101.2,38
13,"ABCO",809.0668,1166
16,"ABCO",753.74158,716
17,"ABCO",116.2,210
18,"ABCO",913.24458,1556
21,"ABCO",847.3469,314
22,"ABCO",137.2,42
23,"ABCO",1019.19984,1276
27,"ABCO",151.2,36
28,"ABCO",1099.02214,1064
32,"ABCO",164.4,24
1,"ABMA",999.122828666667,1981.33333333333
6,"ABMA",1011.27762,2060.66666666667
11,"ABMA",1004.3234,3528.66666666667
16,"ABMA",1002.81089333333,1905.33333333333
21,"ABMA",1000.21129333333,1644.66666666667
28,"ABMA",0.7111112,4
1,"CADE",382.823859833333,808
6,"CADE",843.9002,1260
7,"CADE",51.9999816666667,208
11,"CADE",873.4692,1528
13,"CADE",53.333304,208
16,"CADE",914.8294,4656
17,"CADE",3,10
18,"CADE",54.933354,208
21,"CADE",965.4422,1058
22,"CADE",2.8,20
23,"CADE",57.777818,249
27,"CADE",2.6,25
28,"CADE",57.066696,247
32,"CADE",2.6,30
1,"PICO",34.285716,68
6,"PICO",34.104306,70
10,"PICO",1.71674,14
11,"PICO",33.197308,66
15,"PICO",1.71674,14
16,"PICO",33.560078,64
19,"PICO",1.71674,16
21,"PICO",32.653054,60
24,"PICO",1.71674,18
29,"PICO",1.5450658,18
1,"PIJE",140,324
6,"PIJE",139.8,302
12,"PIJE",136.4,270
17,"PIJE",136.2,228
22,"PIJE",132.4,208
27,"PIJE",133,202
32,"PIJE",133,196
1,"PILA",50.59006,170.666666666667
6,"PILA",30.490025,72
7,"PILA",79.5555816666667,342
11,"PILA",52.244898,154
12,"PILA",4,6
13,"PILA",73.777772,258
16,"PILA",46.077126,212
17,"PILA",4.4,4
18,"PILA",69.1555498,232
21,"PILA",42.993208,222
22,"PILA",4.4,4
23,"PILA",63.2888998,157
27,"PILA",4.4,4
28,"PILA",60.44443,143
32,"PILA",3.8,4
1,"PIMO",44.1674859,120
5,"PIMO",81.888412,226
6,"PIMO",7.981864,14
10,"PIMO",85.321888,216
11,"PIMO",7.437646,14
15,"PIMO",86.180284,220
16,"PIMO",7.619052,14
19,"PIMO",87.897022,387
21,"PIMO",7.800458,10
24,"PIMO",87.381992,422
29,"PIMO",86.180282,456
1,"PIPO",44.98872,94
6,"PIPO",44.625896,64
11,"PIPO",41.541912,97
16,"PIPO",38.27663,96
21,"PIPO",34.467106,64
1,"QUCH",5.986398,84
6,"QUCH",5.623586,80
11,"QUCH",5.079368,112
21,"QUCH",4.172338,114
1,"QUKE",107.338032666667,296.666666666667
6,"QUKE",159.59036,378
7,"QUKE",1.48148166666667,68
11,"QUKE",291.882,1074
12,"QUKE",13.4,200
13,"QUKE",1.2444446,68
16,"QUKE",276.82554,1010
17,"QUKE",12,273
18,"QUKE",1.2444446,61
21,"QUKE",267.210678,502
22,"QUKE",11.4,195
23,"QUKE",1.0666668,73
27,"QUKE",10,225
28,"QUKE",0.888889,64
32,"QUKE",10,248
