"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",231.5684,540
6,"ABCO",327.70281,168
7,"ABCO",717.68896,1236
11,"ABCO",713.10688,2919
12,"ABCO",99,38
13,"ABCO",858.84438,1166
16,"ABCO",839.00226,716
17,"ABCO",121.6,210
18,"ABCO",973.33346,1556
21,"ABCO",968.16318,314
22,"ABCO",133.4,42
23,"ABCO",1085.68874,1276
27,"ABCO",152,36
28,"ABCO",1189.8666,1064
32,"ABCO",163.4,24
1,"ABMA",999.667188666667,1981.33333333333
6,"ABMA",1013.69655333333,2060.66666666667
11,"ABMA",1014.11856666667,3528.66666666667
16,"ABMA",1014.42152,1905.33333333333
21,"ABMA",1013.21226,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",382.4816339,808
6,"CADE",827.211,1260
7,"CADE",52.977812,208
11,"CADE",887.4376,1528
13,"CADE",57.600016,208
16,"CADE",912.1086,4656
17,"CADE",2.8,10
18,"CADE",58.133356,208
21,"CADE",972.5172,1058
22,"CADE",2.6,20
23,"CADE",58.844456,249
27,"CADE",2.6,25
28,"CADE",57.955548,247
32,"CADE",2.2,30
1,"PICO",34.28573,68
6,"PICO",34.285726,70
10,"PICO",1.0300436,14
11,"PICO",31.927414,66
15,"PICO",0.8583698,14
16,"PICO",32.108826,64
19,"PICO",0.6866956,16
21,"PICO",34.104296,60
24,"PICO",0.6866956,18
29,"PICO",0.6866956,18
1,"PIJE",139.8,324
6,"PIJE",143.8,302
12,"PIJE",144.2,270
17,"PIJE",147.4,228
22,"PIJE",144.6,208
27,"PIJE",143,202
32,"PIJE",145.4,196
1,"PILA",50.6394512,170.666666666667
6,"PILA",30.571438,72
7,"PILA",81.777814,342
11,"PILA",52.426294,154
12,"PILA",4.8,6
13,"PILA",76.0889138,258
16,"PILA",48.616802,212
17,"PILA",5,4
18,"PILA",70.399982,232
21,"PILA",44.807264,222
22,"PILA",4.4,4
23,"PILA",65.7777918,157
27,"PILA",4.2,4
28,"PILA",62.9333438,143
32,"PILA",4.2,4
1,"PIMO",44.596666,120
5,"PIMO",81.201724,226
6,"PIMO",7.981864,14
10,"PIMO",84.12015,216
11,"PIMO",7.25624,14
15,"PIMO",84.120174,220
16,"PIMO",7.25624,14
19,"PIMO",88.755348,387
21,"PIMO",7.25624,10
24,"PIMO",90.128792,422
29,"PIMO",93.218904,456
1,"PIPO",45.714336,94
6,"PIPO",40.45353,64
11,"PIPO",39.002254,97
16,"PIPO",34.829962,96
21,"PIPO",31.56466,64
1,"QUCH",6.34921,84
6,"QUCH",5.623586,80
11,"QUCH",5.260774,112
21,"QUCH",4.897962,114
1,"QUKE",108.902813266667,296.666666666667
6,"QUKE",161.26957,378
7,"QUKE",1.777778,68
11,"QUKE",294.240104,1074
12,"QUKE",15.2,200
13,"QUKE",1.9555558,68
16,"QUKE",279.72802,1010
17,"QUKE",14,273
18,"QUKE",1.6000002,61
21,"QUKE",264.489794,502
22,"QUKE",12.6,195
23,"QUKE",1.777778,73
27,"QUKE",12.8,225
28,"QUKE",1.4222224,64
32,"QUKE",12.8,248
