"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",242.381973333333,540
6,"ABCO",324.82083,168
7,"ABCO",727.99994,1236
11,"ABCO",703.49206,2919
12,"ABCO",110,38
13,"ABCO",878.04428,1166
16,"ABCO",813.60562,716
17,"ABCO",125.8,210
18,"ABCO",971.73354,1556
21,"ABCO",926.43976,314
22,"ABCO",138.4,42
23,"ABCO",1065.59996,1276
27,"ABCO",154.8,36
28,"ABCO",1182.04466,1064
32,"ABCO",170.6,24
1,"ABMA",999.486258666667,1981.33333333333
6,"ABMA",1015.57104,2060.66666666667
11,"ABMA",1017.0828,3528.66666666667
16,"ABMA",1010.91408666667,1905.33333333333
21,"ABMA",1013.15227333333,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",388.3718289,808
6,"CADE",845.533,1260
7,"CADE",54.755542,208
11,"CADE",897.596,1528
13,"CADE",57.95558,208
16,"CADE",937.8686,4656
17,"CADE",2.8,10
18,"CADE",58.133382,208
21,"CADE",989.206,1058
22,"CADE",2.8,20
23,"CADE",59.911148,249
27,"CADE",2.6,25
28,"CADE",62.400022,247
32,"CADE",2.6,30
1,"PICO",33.378686,68
6,"PICO",33.015858,70
10,"PICO",1.2017174,14
11,"PICO",34.104342,66
15,"PICO",1.2017174,14
16,"PICO",35.736934,64
19,"PICO",1.2017174,16
21,"PICO",35.555546,60
24,"PICO",1.2017174,18
29,"PICO",1.0300436,18
1,"PIJE",140.2,324
6,"PIJE",142.2,302
12,"PIJE",142.6,270
17,"PIJE",144,228
22,"PIJE",147.4,208
27,"PIJE",146.8,202
32,"PIJE",143.2,196
1,"PILA",50.4640878666667,170.666666666667
6,"PILA",30.924942,72
7,"PILA",74.1333238,342
11,"PILA",53.514728,154
12,"PILA",3.2,6
13,"PILA",67.5555618,258
16,"PILA",49.342412,212
17,"PILA",3.6,4
18,"PILA",62.7555578,232
21,"PILA",45.351474,222
22,"PILA",3.2,4
23,"PILA",62.222194,157
27,"PILA",3.4,4
28,"PILA",58.1333358,143
32,"PILA",3.4,4
1,"PIMO",44.415257,120
5,"PIMO",82.575134,226
6,"PIMO",7.800458,14
10,"PIMO",84.978536,216
11,"PIMO",7.800458,14
15,"PIMO",85.665236,220
16,"PIMO",7.981864,14
19,"PIMO",87.553652,387
21,"PIMO",7.800458,10
24,"PIMO",89.2704,422
29,"PIMO",90.300452,456
1,"PIPO",46.077154,94
6,"PIPO",42.811778,64
11,"PIPO",40.81635,97
16,"PIPO",39.5465,96
21,"PIPO",39.546478,64
1,"QUCH",6.167804,84
6,"QUCH",5.44218,80
11,"QUCH",5.079368,112
21,"QUCH",3.446714,114
1,"QUKE",108.057456,296.666666666667
6,"QUKE",159.62753,378
7,"QUKE",1.6000002,68
11,"QUKE",294.78428,1074
12,"QUKE",14.2,200
13,"QUKE",1.6000002,68
16,"QUKE",284.26298,1010
17,"QUKE",13.2,273
18,"QUKE",1.4222224,61
21,"QUKE",267.210998,502
22,"QUKE",12.8,195
23,"QUKE",1.6000002,73
27,"QUKE",12.4,225
28,"QUKE",1.2444446,64
32,"QUKE",12.8,248
