"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",296.508,540
6,"ABCO",499.38882,168
7,"ABCO",974.39998,1236
11,"ABCO",1017.86864,2919
12,"ABCO",238.8,38
13,"ABCO",1191.6446,1166
16,"ABCO",1190.5668,716
17,"ABCO",277.2,210
18,"ABCO",1357.86656,1556
21,"ABCO",1344.21794,314
22,"ABCO",320.6,42
23,"ABCO",1526.04458,1276
27,"ABCO",348.4,36
28,"ABCO",1679.46644,1064
32,"ABCO",361.4,24
1,"ABMA",1018.35101333333,1981.33333333333
6,"ABMA",1075.61586666667,2060.66666666667
11,"ABMA",1088.01181333333,3528.66666666667
16,"ABMA",1103.31091333333,1905.33333333333
21,"ABMA",1117.15797333333,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",383.5609689,808
6,"CADE",814.694,1260
7,"CADE",55.466622,208
11,"CADE",842.2682,1528
13,"CADE",59.022196,208
16,"CADE",872.7442,4656
17,"CADE",2.6,10
18,"CADE",63.2889,208
21,"CADE",910.4766,1058
22,"CADE",2.6,20
23,"CADE",63.822224,249
27,"CADE",2.6,25
28,"CADE",64.000016,247
32,"CADE",2.2,30
1,"PICO",35.555566,68
6,"PICO",38.458054,70
10,"PICO",1.2017174,14
11,"PICO",43.356004,66
15,"PICO",1.2017174,14
16,"PICO",43.718826,64
19,"PICO",1.2017174,16
21,"PICO",45.714284,60
24,"PICO",1.2017174,18
29,"PICO",1.2017174,18
1,"PIJE",142.6,324
6,"PIJE",151.4,302
12,"PIJE",160.2,270
17,"PIJE",169.8,228
22,"PIJE",175.8,208
27,"PIJE",184.8,202
32,"PIJE",190,196
1,"PILA",50.8850992666667,170.666666666667
6,"PILA",31.315647,72
7,"PILA",90.844414,342
11,"PILA",51.882064,154
12,"PILA",3.2,6
13,"PILA",92.266682,258
16,"PILA",50.068028,212
17,"PILA",3.2,4
18,"PILA",89.42222,232
21,"PILA",46.802734,222
22,"PILA",3.2,4
23,"PILA",86.755516,157
27,"PILA",3.4,4
28,"PILA",82.311074,143
32,"PILA",2.8,4
1,"PIMO",44.863907,120
5,"PIMO",85.836946,226
6,"PIMO",8.16327,14
10,"PIMO",91.502142,216
11,"PIMO",7.619052,14
15,"PIMO",91.84548,220
16,"PIMO",7.25624,14
19,"PIMO",96.99572,387
21,"PIMO",7.437646,10
24,"PIMO",99.570808,422
29,"PIMO",101.802586,456
1,"PIPO",45.895702,94
6,"PIPO",49.705208,64
11,"PIPO",51.337878,97
16,"PIPO",48.616786,96
21,"PIPO",45.170078,64
1,"QUCH",6.34921,84
6,"QUCH",6.167804,80
11,"QUCH",5.804992,112
21,"QUCH",4.172338,114
1,"QUKE",107.682258666667,296.666666666667
6,"QUKE",158.60198,378
7,"QUKE",1.777778,68
11,"QUKE",289.16066,1074
12,"QUKE",14.2,200
13,"QUKE",1.6000002,68
16,"QUKE",278.095224,1010
17,"QUKE",13.8,273
18,"QUKE",1.777778,61
21,"QUKE",262.67588,502
22,"QUKE",14.2,195
23,"QUKE",1.4222224,73
27,"QUKE",13.2,225
28,"QUKE",1.4222224,64
32,"QUKE",13.4,248
